sigma,omega,run,beta,val_mse,L_used
0.1,1,7,3.759362382044544e-05,0.02225464653745772,6159.939216764643
0.1,1,7,6.311866447511572e-05,0.022377455984791572,5021.308038207402
0.1,1,7,0.00010597450844724185,0.021801315807473833,3609.3362533194645
0.1,1,7,0.000177928296392617,0.021709955879325525,1972.9264635286004
0.1,1,7,0.00029873673509832566,0.02164934135874408,1904.1600305303273
0.1,1,7,0.0005015707940027822,0.02077749619904685,3692.509672338516
0.1,1,7,0.0008421236220372387,0.019537872126870973,2119.337286386235
0.1,1,7,0.0014139024904811046,0.016545243164210723,523.7427157616204
0.1,1,7,0.0023739035460761215,0.01525685472526806,589.5247083535734
0.1,1,7,0.003985719018116473,0.013078689966752441,462.19297992073547
0.1,1,7,0.006691913038182867,0.0121774759491127,301.4354328796215
0.1,1,7,0.011235538658659481,0.01155465418943325,270.43379054466175
0.1,1,7,0.01886416159772903,0.011333191123859799,130.92720615287686
0.1,1,7,0.031672410517760805,0.010978423427067483,96.62122127169881
0.1,1,7,0.05317710955817559,0.01088367180733168,50.66929392693023
0.1,1,7,0.08928291010172634,0.010927712290091174,48.56188397433418
0.1,1,7,0.1499035600555201,0.011157300388599533,24.14443055876785
0.1,1,7,0.2516839705573673,0.011919746808057598,46.2364059866966
0.1,1,7,0.4225704914016749,0.015768272364151834,191.18964898728618
0.1,1,7,0.7094842782717138,0.035911498867240994,13.273482559754346
0.1,1,7,1.1912046661021052,0.13382286496641038,8.601526765193167
0.1,1,7,2.0,0.2898233117344472,0.0
0.1,1,8,1.698684430895269e-07,0.020448753120109683,107680.10828520064
0.1,1,8,2.978087408889224e-07,0.020448753120109683,107680.10828520064
0.1,1,8,5.221101962010825e-07,0.020448753120109683,107680.10828520064
0.1,1,8,9.15349415747363e-07,0.02044875312010969,63308.77763736696
0.1,1,8,1.6047657352900016e-06,0.0204491101045831,29110.097858516925
0.1,1,8,2.81343170253538e-06,0.0204491101045831,29110.097858516925
0.1,1,8,4.932432049591765e-06,0.020470431323758843,29110.097858516925
0.1,1,8,8.647405907140238e-06,0.02048124151018206,21440.048784957475
0.1,1,8,1.5160397177500477e-05,0.020382101788623323,21268.167184994476
0.1,1,8,2.6578796583352878e-05,0.020415001290451817,10288.942028980853
0.1,1,8,4.659722430410107e-05,0.020438735925879855,5596.974147053692
0.1,1,8,8.169298809437659e-05,0.020182840113056023,4363.606779301551
0.1,1,8,0.00014322192798940205,0.019768105941164037,1505.1547271813597
0.1,1,8,0.0002510927943204148,0.019168691416559573,1792.4663640157225
0.1,1,8,0.00044020906745718117,0.018420648322280807,1615.2060102814949
0.1,1,8,0.0007717625812242025,0.017255223492276737,704.0256066622078
0.1,1,8,0.0013530331967452694,0.01593596201927002,714.32320216077
0.1,1,8,0.00237210105287923,0.014275935107035282,530.8916361731845
0.1,1,8,0.004158703140917909,0.01332950355323827,1131.5725608601508
0.1,1,8,0.007290925398514633,0.012468766048128611,186.26224592638897
0.1,1,8,0.012782252391059781,0.011973802964049382,109.81409478402313
0.1,1,8,0.02240949773289952,0.011352691152883959,496.2104699026825
0.1,1,8,0.03928772279540267,0.01092279836706004,65.68503135640644
0.1,1,8,0.06887816857145994,0.010895470021469535,158.46772113569133
0.1,1,8,0.12075533444543657,0.010853418709619457,38.64680524450965
0.1,1,8,0.21170497269974328,0.011051352953749665,25.413854486476197
0.1,1,8,0.3711554083438902,0.013429880842763238,59.100530748842345
0.1,1,8,0.6506995815270566,0.02768362963058662,21.68357997959165
0.1,1,8,1.1407888336822503,0.11529554816924481,9.85325522819019
0.1,1,8,2.0,0.29321965191378535,0.0
0.1,1,9,1.7513495542686983e-07,0.018731827688119252,936824.5556010235
0.1,1,9,3.0671874916022364e-07,0.01872044815934324,398845.5683066852
0.1,1,9,5.371651299257341e-07,0.018718581285169254,398845.5683066852
0.1,1,9,9.40752326351592e-07,0.01865614298137736,92637.03835322475
0.1,1,9,1.6475658791520779e-06,0.018655604657998835,92637.03835322475
0.1,1,9,2.8854282366469175e-06,0.01861921070692217,49629.5259761665
0.1,1,9,5.053331228930384e-06,0.018610412799208463,43172.012885396536
0.1,1,9,8.850040415130195e-06,0.018604874751484785,11633.595446602996
0.1,1,9,1.5499323476172794e-05,0.018535703030295808,11585.330245366571
0.1,1,9,2.714439900278207e-05,0.018503394163240622,6701.137550040329
0.1,1,9,4.753874569783332e-05,0.018306267341540738,5576.337595251937
0.1,1,9,8.325593586697727e-05,0.01818213916181423,5255.025815888867
0.1,1,9,0.00014580845067189353,0.018045546276434656,4814.630220719952
0.1,1,9,0.00025535842058524834,0.017208312126185413,1460.7856574411571
0.1,1,9,0.0004472163490065961,0.01658185720446244,1358.7124063489684
0.1,1,9,0.0007832225088188197,0.015437831601280346,1589.577896200054
0.1,1,9,0.0013716795007228113,0.014256036071564542,671.678648740564
0.1,1,9,0.0024022607005264487,0.012814273115883021,702.2735997837748
0.1,1,9,0.00420714639990818,0.011923160718315224,1593.6701388021454
0.1,1,9,0.007368093240829954,0.010833998792014047,175.3271821064331
0.1,1,9,0.012903947912710833,0.009975676276433807,517.5662024301866
0.1,1,9,0.022599045138467614,0.010063834760166035,71.1140375212088
0.1,1,9,0.03957834025875314,0.010027103216761564,31.253180336689
0.1,1,9,0.06931465502368817,0.009912863022221084,50.35688601513053
0.1,1,9,0.12139269533896946,0.009721816591236032,176.8158653907097
0.1,1,9,0.21259842491640213,0.009847383227749825,54.19305985975014
0.1,1,9,0.3723295718142407,0.011333484916101724,28.785140237905214
0.1,1,9,0.6520711999719077,0.023849121924351988,18.41165652878082
0.1,1,9,1.1419905428434218,0.10500924933632212,12.994109382181723
0.1,1,9,2.0,0.28037455481006096,0.0
0.1,5,0,3.5915606044767347e-09,0.016579462771474183,175166.50662009156
0.1,5,0,7.192182101331049e-09,0.016579462771474183,175166.50662009156
0.1,5,0,1.4402508846497065e-08,0.016579462771474183,175166.50662009156
0.1,5,0,2.884135275649343e-08,0.016579462771474183,175166.50662009156
0.1,5,0,5.7755467307128565e-08,0.016579462771474183,175166.50662009156
0.1,5,0,1.1565664176808685e-07,0.016579462771474183,175166.50662009156
0.1,5,0,2.3160506543803182e-07,0.016579462771474183,175166.50662009156
0.1,5,0,4.63794430795552e-07,0.016579462771474183,175166.50662009156
0.1,5,0,9.287589355187207e-07,0.016579462771474183,175166.50662009156
0.1,5,0,1.8598609707888279e-06,0.016579462771474093,49617.94575533779
0.1,5,0,3.724414052319863e-06,0.016525544739846906,26487.240263596377
0.1,5,0,7.458224163516069e-06,0.016525544739846906,26487.240263596377
0.1,5,0,1.4935264149432337e-05,0.016410036912017305,15755.503296715155
0.1,5,0,2.990820741276292e-05,0.016386309787966416,11395.460785009085
0.1,5,0,5.989186811127455e-05,0.016380740227929062,3910.861040918291
0.1,5,0,0.00011993483314976543,0.015929146166709995,2104.0611935448683
0.1,5,0,0.0002401722413456367,0.016063869223008457,1228.000865301509
0.1,5,0,0.0004809503961285127,0.01602433576310889,858.5052839840153
0.1,5,0,0.0009631141477473482,0.015034954402237724,696.7339550298876
0.1,5,0,0.0019286580675634693,0.01287539612510958,1030.1786785204101
0.1,5,0,0.003862181809163327,0.011323359511386624,634.9262068406771
0.1,5,0,0.007734107241661816,0.01062052319024549,3140.4442043639224
0.1,5,0,0.015487726311487135,0.010344481970679791,395.53010766111544
0.1,5,0,0.031014525504302424,0.010300632194702636,92.75668615640538
0.1,5,0,0.062107295345449814,0.010196539838892396,84.44685521516585
0.1,5,0,0.1243712767616529,0.011425726051062943,65.42277363362767
0.1,5,0,0.24905632095693664,0.035273299658698416,42.976116761830205
0.1,5,0,0.4987409683626415,0.3148808608134913,30.072551803008217
0.1,5,0,0.9987401747828536,0.6896016424302062,40.88888647536798
0.1,5,0,2.0,0.5333662110423566,0.0
0.1,5,1,2.9423850267384926e-07,0.019707317969436065,115250.31539254235
0.1,5,1,5.061708199771052e-07,0.019707317969436065,115250.31539254235
0.1,5,1,8.707524564869459e-07,0.019707317969436065,115250.31539254235
0.1,5,1,1.4979327344716265e-06,0.019699944642631563,73689.56198824184
0.1,5,1,2.5768546046419137e-06,0.019699944642631563,73689.56198824184
0.1,5,1,4.432895750693678e-06,0.019699944642631563,73689.56198824184
0.1,5,1,7.625794913348926e-06,0.01969065731384162,28539.6671289604
0.1,5,1,1.3118456045657801e-05,0.01966824466507926,17239.820363176874
0.1,5,1,2.2567337697556827e-05,0.019618010022318045,14062.306195932491
0.1,5,1,3.8822002298368075e-05,0.019469771382094766,5385.528214099343
0.1,5,1,6.678447775510832e-05,0.01945620515051416,4456.8845374326165
0.1,5,1,0.0001148875947908032,0.01903415007559747,2259.3656145135096
0.1,5,1,0.00019763813210033247,0.018751889259861168,1755.3799451102188
0.1,5,1,0.00033999172261577634,0.018034558112584843,2023.195244329939
0.1,5,1,0.0005848788906209692,0.017187049132633473,1657.3291039200014
0.1,5,1,0.0010061518970583966,0.015962228471546446,3702.1114503146227
0.1,5,1,0.0017308568597498909,0.013867105508945638,1169.1629090326685
0.1,5,1,0.0029775479007712632,0.012506483153974544,582.3429134897887
0.1,5,1,0.005122197974631169,0.010960237934107133,326.7124739523876
0.1,5,1,0.008811583546487901,0.010496922566569955,269.99060218130023
0.1,5,1,0.015158337296075939,0.010101732504307858,174.765379831267
0.1,5,1,0.02607649219568372,0.009918573053348924,96.66126550036464
0.1,5,1,0.044858709233735174,0.009900496067405213,93.71319300417457
0.1,5,1,0.07716926720879587,0.010385074301954029,125.70886015450199
0.1,5,1,0.1327522771668184,0.013158473270512859,214.05111365607218
0.1,5,1,0.22837027913318175,0.03262328021976545,186.3810456090077
0.1,5,1,0.3928594334079194,0.16639537169542243,77.77934308857574
0.1,5,1,0.6758258342697204,0.5739667818515745,15.072017194486103
0.1,5,1,1.1626055515691645,0.5728661856497773,22.111210410314698
0.1,5,1,2.0,0.521989348841782,0.0
0.1,5,2,1.5376453288418177e-07,0.02099976610474817,634641.0939884858
0.1,5,2,2.7050326531304493e-07,0.020952502914208186,141670.03198566096
0.1,5,2,4.7587057413385397e-07,0.020952502914208186,141670.03198566096
0.1,5,2,8.37153677477488e-07,0.020952502914208186,141670.03198566096
0.1,5,2,1.4727245553891972e-06,0.020952062572345432,34671.69835765823
0.1,5,2,2.590823733321811e-06,0.020952062572345432,34671.69835765823
0.1,5,2,4.557788890380582e-06,0.020985814529803096,34671.69835765823
0.1,5,2,8.01808293713678e-06,0.02097187548768843,29740.515778239962
0.1,5,2,1.4105447955803805e-05,0.020948909873039705,20566.974984103148
0.1,5,2,2.4814368171768842e-05,0.02065670941348499,8266.464388972712
0.1,5,2,4.3653549301901955e-05,0.020764606930496168,7532.884363758337
0.1,5,2,7.679552239502977e-05,0.020099443171280217,3909.371744063341
0.1,5,2,0.0001350990321345661,0.01982650652592782,4906.409021161256
0.1,5,2,0.00023766683153493055,0.0190432639019105,2349.6745296587264
0.1,5,2,0.00041810457054637,0.01859118114725536,3534.179875730795
0.1,5,2,0.00073553146134349,0.01739171907283112,1141.2490113146691
0.1,5,2,0.0012939502907588758,0.015870543677090246,957.440496791387
0.1,5,2,0.0022763232342186447,0.013591353978533633,444.4062646247846
0.1,5,2,0.004004518182537522,0.01157009364314722,785.4989274445819
0.1,5,2,0.007044766592552069,0.010729113832031923,123.32858936701503
0.1,5,2,0.012393185417400154,0.010271456454927736,249.04835905127203
0.1,5,2,0.021802148129711027,0.009904919117087744,258.3360811330827
0.1,5,2,0.03835443810938938,0.009725362979535029,297.4200951776054
0.1,5,2,0.06747330189369193,0.009970908547133582,169.73683627389525
0.1,5,2,0.11869933944678952,0.01082870120886243,55.397851738945945
0.1,5,2,0.2088164176002982,0.024878620024277244,62.6251377793963
0.1,5,2,0.3673507911892723,0.1407576649465449,72.45446009890851
0.1,5,2,0.646245181955422,0.5758079130582794,76.43265878025554
0.1,5,2,1.1368774621351443,0.6374127068390595,19.995763696000232
0.1,5,2,2.0,0.5644203173277308,0.0
0.1,5,3,5.69459918109416e-07,0.020823170951206296,457937.1833148891
0.1,5,3,9.575740372502456e-07,0.020816398670242525,54133.043754525934
0.1,5,3,1.6102064564262316e-06,0.020808461923559528,46031.50518279471
0.1,5,3,2.7076390247192417e-06,0.020807786874653643,46031.50518279471
0.1,5,3,4.553024277678044e-06,0.020803904514910244,41894.52088000847
0.1,5,3,7.6561276757618e-06,0.020789647085461563,23934.754510852483
0.1,5,3,1.2874144175980317e-05,0.020793722425178376,21910.729784586863
0.1,5,3,2.164848801942636e-05,0.020780989505660694,13840.409420655478
0.1,5,3,3.6402966062911926e-05,0.020612169580916356,5706.38032168517
