seed,N_train,method,mlp_width,mlp_depth,mlp_lr,mlp_epochs,train_mse,test_mse_vs_f,max_error_vs_f,mse_vs_closed_form,max_error_vs_closed_form,L_hat,L_used
19,50,ReLU MLP (W=128),128.0,3.0,0.001,5000.0,4.944257508121016e-07,4.9763989171588265e-05,0.04967737320068577,0.0017421411612776115,0.21063910195020463,5.063868737411146,5.570255611152261
0,200,Closed-form,,,,,0.0,3.965026085652387e-05,0.03165441412101189,0.0,0.0,5.198762112401221,5.718638323641343
0,200,ReLU MLP (W=64),64.0,3.0,0.001,5000.0,1.5095593832057058e-05,1.4201220127646505e-05,0.031328738957674296,5.2615362809914826e-05,0.030523461877554392,5.198762112401221,5.718638323641343
1,200,Closed-form,,,,,0.0,4.987096471488596e-05,0.043654752278892484,0.0,0.0,5.200352061531939,5.720387267685133
1,200,ReLU MLP (W=64),64.0,3.0,0.001,5000.0,2.3265345272055144e-06,3.658734879542033e-06,0.016117395192415507,5.174141786891563e-05,0.04071315496790151,5.200352061531939,5.720387267685133
2,200,Closed-form,,,,,0.0,3.947847560989673e-05,0.027465843986417493,0.0,0.0,5.200317222143673,5.720348944358041
2,200,ReLU MLP (W=64),64.0,3.0,0.001,5000.0,1.0161159989439753e-05,3.6759423108590486e-05,0.053799809247286,9.660132745298056e-05,0.0812656532337035,5.200317222143673,5.720348944358041
3,200,Closed-form,,,,,0.0,4.9437324594767997e-05,0.04587461339478538,0.0,0.0,5.197224524797576,5.716946977277335
3,200,ReLU MLP (W=64),64.0,3.0,0.001,5000.0,3.735409981610357e-06,5.370222353589989e-06,0.020141528278619925,5.3968152307915204e-05,0.04496134443780864,5.197224524797576,5.716946977277335
4,200,Closed-form,,,,,0.0,8.512718726385336e-05,0.054328716034077074,0.0,0.0,5.205582202954382,5.726140423249821
4,200,ReLU MLP (W=64),64.0,3.0,0.001,5000.0,6.908919437193752e-05,6.474290518883571e-05,0.02279397967460839,0.00014938844494110593,0.0531392120763331,5.205582202954382,5.726140423249821
5,200,Closed-form,,,,,0.0,8.057420730967234e-05,0.049145373227183375,0.0,0.0,5.200155415247178,5.720170956771896
5,200,ReLU MLP (W=64),64.0,3.0,0.001,5000.0,2.565521494054435e-05,2.385897627971836e-05,0.03679025295379845,0.00010877642693217444,0.05188919348234672,5.200155415247178,5.720170956771896
6,200,Closed-form,,,,,0.0,3.881706050172883e-05,0.031201382171364866,0.0,0.0,5.205547825990701,5.7261026085897715
6,200,ReLU MLP (W=64),64.0,3.0,0.001,5000.0,1.8188784673449379e-06,3.7596795773688576e-06,0.013768055766851583,4.008337974616214e-05,0.03113234388938768,5.205547825990701,5.7261026085897715
7,200,Closed-form,,,,,0.0,5.208520726388617e-05,0.03752173039910231,0.0,0.0,5.205725320730724,5.726297852803797
7,200,ReLU MLP (W=64),64.0,3.0,0.001,5000.0,3.2806033317262785e-05,3.249050737599894e-05,0.039639474183351786,8.457594005022214e-05,0.04333120629129414,5.205725320730724,5.726297852803797
8,200,Closed-form,,,,,0.0,5.1951661299716e-05,0.041694216402172635,0.0,0.0,5.190860850194362,5.709946935213798
8,200,ReLU MLP (W=64),64.0,3.0,0.001,5000.0,1.4333968978259257e-06,5.054646805770629e-06,0.02131956937912205,5.862361874643384e-05,0.048678135482102425,5.190860850194362,5.709946935213798
9,200,Closed-form,,,,,0.0,3.991606548563105e-05,0.031581734736175315,0.0,0.0,5.203446908688174,5.723791599556992
9,200,ReLU MLP (W=64),64.0,3.0,0.001,5000.0,5.4168682787433376e-06,9.536104341510199e-06,0.023072214156419912,4.889609737916284e-05,0.03136942733364667,5.203446908688174,5.723791599556992
10,200,Closed-form,,,,,0.0,5.415314248998033e-05,0.0351816346237539,0.0,0.0,5.2073864906047325,5.728125139665206
10,200,ReLU MLP (W=64),64.0,3.0,0.001,5000.0,6.623045889587067e-06,2.325814365123318e-05,0.04196958366039483,8.456317780197218e-05,0.060006152763544374,5.2073864906047325,5.728125139665206
11,200,Closed-form,,,,,0.0,4.576447426891767e-05,0.03415574046717518,0.0,0.0,5.207548707104562,5.728303577815018
11,200,ReLU MLP (W=64),64.0,3.0,0.001,5000.0,2.2384185843212128e-06,1.1780427205452883e-05,0.03452956798675755,5.656291812418173e-05,0.036413281883950654,5.207548707104562,5.728303577815018
12,200,Closed-form,,,,,0.0,4.8765651494242585e-05,0.03715013834056158,0.0,0.0,5.195528741067938,5.715081615174732
