sigma,run,mlp_mse,uf_mse,mlp_maxerr,uf_maxerr,beta_min,beta_max,beta_star,L_used
1.2,3,0.034260243546607144,0.010081216254024753,0.869254031558214,0.270200045858042,4.785960328046458e-07,2.0,0.1443669466562871,302.4398060992735
1.2,4,0.018371496428229862,0.01581183485138805,0.4511404130984522,0.44809248045079575,5.295013996153845e-07,2.0,0.24764816550067761,109.18554328815259
1.2,5,0.023100463873033033,0.005375813322519203,0.6575062956129233,0.3271273896734127,2.645354897357068e-07,2.0,0.13033881853134985,473.41852884153826
1.2,6,0.03002589337049623,0.009672889258503091,0.8159965957914511,0.241862629723973,3.3777137264934254e-07,2.0,0.07940398671478181,519.263392212275
1.2,7,0.02963768882166873,0.005893610994904523,0.5393919553719758,0.16458665446649212,1.3221143335684352e-07,2.0,0.11564854446393885,222.97978179919843
1.2,8,0.01792399592550126,0.0039363793680625425,0.3817092159802882,0.1785544848670424,3.093441889312485e-07,2.0,0.1339031148093583,218.71560969515934
1.2,9,0.025909912529534868,0.006050651932853175,0.8376602828260128,0.20561011746068425,1.865593746153137e-07,2.0,0.07022684938945546,448.89351399967796
1.5,0,0.06997172822771841,0.03337256831536373,0.8484284481858367,0.5951347403601712,1.2208146671355285e-07,2.0,0.358686306184808,211.38861178522097
1.5,1,0.04165737305580968,0.022401551550365488,0.9717031961847168,0.45532717013664215,9.786346977236342e-08,2.0,0.3505748435058638,80.70947371373835
1.5,2,0.05807679749159961,0.03943214866371013,0.8037790556203778,0.5618344178683384,2.9690368519297316e-07,2.0,0.04495645264045405,1022.6503646537199
1.5,3,0.044495432013198714,0.054759791480960926,0.8278258561951651,0.6010043514956893,7.806008466282319e-07,2.0,0.4345815392637355,56.02335202151277
1.5,4,0.04860868160200835,0.007995166625125146,1.1239313775394577,0.23472486759928493,4.50975021326627e-07,2.0,0.1428948682105267,160.69891126122263
1.5,5,0.05321370057156904,0.01634553139828302,0.665880059131325,0.36618016918983914,5.0728634626295785e-09,2.0,0.06591731500864097,403.22388354429705
1.5,6,0.04193761748493346,0.008988194443437408,0.5445763771048242,0.22741609263323714,2.731336159467189e-07,2.0,0.13105959335409226,482.29047344888266
1.5,7,0.06048481221645667,0.058246958519661746,0.8606766293446605,0.6718959327777672,3.7170381794737755e-07,2.0,0.027813041619635485,1443.9688764180148
1.5,8,0.04214449527020038,0.007122975297607077,0.7252413821445083,0.32263414487018405,8.656276073715206e-08,2.0,0.19290673441132591,470.84300862530944
1.5,9,0.05065287372435907,0.01872063886195263,0.829964906168885,0.40213218356449887,1.1823624213036507e-07,2.0,0.063903392940908,716.3353553748102
