run,method,d,metric,N_train,N_test,N_lip,test_mse,empirical_lipschitz,L_hat_train,L_used_cf,width,mlp_depth,target_scalar_ratio,stored_scalars,formula_scalars,scalar_ratio_to_formula
23345,Closed form,100,l2,1000,2000,1000,0.20231696601143317,0.04106139331840307,0.23094544800968325,0.24249272041016742,,,1.0,101001,101001,1.0
23345,MLP target=0.5x,100,l2,1000,2000,1000,0.014346431059623669,0.2552173034133401,,,135.0,3.0,0.5,50491,101001,0.4999059415253314
23345,MLP target=1.0x,100,l2,1000,2000,1000,0.011522995277655098,0.26343497094117396,,,200.0,3.0,1.0,100801,101001,0.9980198215859248
23345,MLP target=1.5x,100,l2,1000,2000,1000,0.011763561628061798,0.26941342078696523,,,250.0,3.0,1.5,151001,101001,1.495044603518777
23345,MLP target=2.0x,100,l2,1000,2000,1000,0.010450925841739726,0.2787392278286852,,,293.0,3.0,2.0,202171,101001,2.0016732507598936
24345,Closed form,100,l2,1000,2000,1000,0.18448817993777647,0.03710454339956247,0.2401245937565152,0.25213082344434096,,,1.0,101001,101001,1.0
24345,MLP target=0.5x,100,l2,1000,2000,1000,0.007466377521950053,0.2602184571284089,,,135.0,3.0,0.5,50491,101001,0.4999059415253314
24345,MLP target=1.0x,100,l2,1000,2000,1000,0.009045455896471707,0.27803165199415986,,,200.0,3.0,1.0,100801,101001,0.9980198215859248
24345,MLP target=1.5x,100,l2,1000,2000,1000,0.009608692138019487,0.28690710245376555,,,250.0,3.0,1.5,151001,101001,1.495044603518777
24345,MLP target=2.0x,100,l2,1000,2000,1000,0.010720335304210652,0.2864830452819257,,,293.0,3.0,2.0,202171,101001,2.0016732507598936
25345,Closed form,100,l2,1000,2000,1000,0.18268397590360932,0.0455759092861927,0.24850443181651508,0.26092965340734087,,,1.0,101001,101001,1.0
25345,MLP target=0.5x,100,l2,1000,2000,1000,0.007452034875611401,0.2679896519832352,,,135.0,3.0,0.5,50491,101001,0.4999059415253314
25345,MLP target=1.0x,100,l2,1000,2000,1000,0.008182423555000476,0.2527772050354998,,,200.0,3.0,1.0,100801,101001,0.9980198215859248
25345,MLP target=1.5x,100,l2,1000,2000,1000,0.008028908779441417,0.2597680852054734,,,250.0,3.0,1.5,151001,101001,1.495044603518777
25345,MLP target=2.0x,100,l2,1000,2000,1000,0.00846058500515252,0.2618308642376451,,,293.0,3.0,2.0,202171,101001,2.0016732507598936
26345,Closed form,100,l2,1000,2000,1000,0.2242937663825261,0.04061379579881601,0.23276974721622248,0.24440823457703362,,,1.0,101001,101001,1.0
26345,MLP target=0.5x,100,l2,1000,2000,1000,0.010131388791912718,0.2422388276409654,,,135.0,3.0,0.5,50491,101001,0.4999059415253314
26345,MLP target=1.0x,100,l2,1000,2000,1000,0.012574999785993014,0.24927648173535288,,,200.0,3.0,1.0,100801,101001,0.9980198215859248
26345,MLP target=1.5x,100,l2,1000,2000,1000,0.01280882797547651,0.25397598526244836,,,250.0,3.0,1.5,151001,101001,1.495044603518777
26345,MLP target=2.0x,100,l2,1000,2000,1000,0.011718992138790308,0.24538794872910685,,,293.0,3.0,2.0,202171,101001,2.0016732507598936
27345,Closed form,100,l2,1000,2000,1000,0.19007157975125563,0.045177279074654256,0.2527676639840967,0.2654060471833016,,,1.0,101001,101001,1.0
27345,MLP target=0.5x,100,l2,1000,2000,1000,0.009787110176350084,0.2812003765665432,,,135.0,3.0,0.5,50491,101001,0.4999059415253314
