sigma,case,experiment,group,d,family,method,target_scalar_ratio,width,mlp_depth,stored_scalars,formula_scalars,scalar_ratio_to_formula,formula_L,beta_mode,cv_folds,final_refit_n,optimizer_updates,completed_runs,test_mse_mean,test_mse_std,train_noisy_mse_mean,train_noisy_mse_std,train_clean_mse_mean,train_clean_mse_std,empirical_lipschitz_mean,empirical_lipschitz_std,lipschitz_bound_mean,lipschitz_bound_std,training_seconds_mean,training_seconds_std,beta_selected_mean,beta_selected_std,cv_validation_mse_mean,cv_validation_mse_std,final_average_count_mean_mean,final_average_count_mean_std,clean_test_variance_mean,clean_test_variance_std,mse_percent_of_formula,mse_percent_of_constant,observed_comparison
0.2,folds_T1_d100,Folding: 1 layer,Tied,100,formula,Formula,1.0,,,101001,101001,1.0,1.0,cv,5,1000,0,2,0.1201840165450807,0.003891460956726809,0.15308397147160369,0.006905615739177597,0.11861995884314741,0.0010781938199240445,0.011220404417484417,0.013955663645621945,1.0,0.0,0.33517007600130455,0.01041220109444726,8.467371950361603,1.0691671651659738,0.15502282139156698,0.009404188209790115,587.061,567.0586263183023,0.11995726076464659,0.003582751384873505,100.0,100.18623964931166,Reference
0.2,folds_T1_d100,Folding: 1 layer,Tied,100,unconstrained,ReLU MLP,1.0,200.0,3.0,100801,101001,0.9980198215859248,1.0,cv,5,1000,1001,2,0.15408611706632566,0.015545840995870778,5.310030483294367e-13,7.463705816094665e-13,0.037896193106590675,0.000792691049813067,0.1736808722531999,0.016396590734164284,7.172306858002269,0.30263105109833516,7.814418152500366,0.045069588282753634,8.467371950361603,1.0691671651659738,0.15502282139156698,0.009404188209790115,587.061,567.0586263183023,0.11995726076464659,0.003582751384873505,128.20849352170583,128.44726857042843,Formula win
0.2,folds_T1_d100,Folding: 1 layer,Tied,100,spectral,Spectral MLP,1.0,200.0,3.0,100801,101001,0.9980198215859248,1.0,cv,5,1000,1001,2,0.12952531720800822,0.0071678566431596985,8.610939177085012e-08,1.2170787430549917e-07,0.03786953385256703,0.0008294187335130747,0.136519816196716,0.0020773424721871278,0.9999990174442188,7.200232131546493e-09,10.67055900450032,0.2372855033530602,8.467371950361603,1.0691671651659738,0.15502282139156698,0.009404188209790115,587.061,567.0586263183023,0.11995726076464659,0.003582751384873505,107.77249831671554,107.973213439635,Near tie
0.2,folds_T1_d100,Folding: 1 layer,Tied,100,orthogonal,Orthogonal MLP,1.0,200.0,3.0,100801,101001,0.9980198215859248,1.0,cv,5,1000,1001,2,0.12783140303884855,0.00548454306503933,1.639156578852999e-08,2.3179630383056202e-08,0.03789702016104925,0.0007941365895256248,0.1278119923991085,0.00041920206138378144,0.9999990038840256,3.071104656659676e-08,42.89228866350095,0.34324579392523835,8.467371950361603,1.0691671651659738,0.15502282139156698,0.009404188209790115,587.061,567.0586263183023,0.11995726076464659,0.003582751384873505,106.36306450192512,106.56115470025064,Near tie
0.2,folds_T1_d100,Folding: 1 layer,Tied,100,constant,Training-mean constant,,,,1,101001,9.900892070375541e-06,1.0,cv,5,1000,0,2,0.11996060233997058,0.0035796862487980337,0.15488150604425022,0.0095549064500962,0.1201705451269858,0.00336190564450056,0.0,0.0,0.0,0.0,0.0,0.0,8.467371950361603,1.0691671651659738,0.15502282139156698,0.009404188209790115,587.061,567.0586263183023,0.11995726076464659,0.003582751384873505,99.81410655798285,100.0,Reference
0.2,folds_T4_d100,Folding: 4 layers,Tied,100,formula,Formula,1.0,,,101001,101001,1.0,1.0,cv,5,1000,0,2,0.04229449782040559,0.0027779449720898284,0.0798236147729183,0.007096531524497012,0.04077850486486768,0.0033100969883938305,0.00464395213648974,0.00549969551538002,1.0,0.0,0.3394052185012697,0.00982461444850694,8.618575020903775,0.8553337321327785,0.07970439230698394,0.006733452150074637,689.155,421.790609191338,0.04217817535706662,0.0026689051229389525,100.0,100.19133488879687,Reference
0.2,folds_T4_d100,Folding: 4 layers,Tied,100,unconstrained,ReLU MLP,1.0,200.0,3.0,100801,101001,0.9980198215859248,1.0,cv,5,1000,1001,2,0.06687121524143799,0.004391816686562699,2.613604661758484e-15,5.516342364990465e-16,0.03789621421722317,0.0007927188671137055,0.1276056188839228,0.014982210256018466,5.274699505190603,0.014020483012614568,7.749104477999936,0.21324996734713492,8.618575020903775,0.8553337321327785,0.07970439230698394,0.006733452150074637,689.155,421.790609191338,0.04217817535706662,0.0026689051229389525,158.1085452897256,158.41106209903407,Formula win
0.2,folds_T4_d100,Folding: 4 layers,Tied,100,spectral,Spectral MLP,1.0,200.0,3.0,100801,101001,0.9980198215859248,1.0,cv,5,1000,1001,2,0.05893879065657233,0.0022968083959054994,5.341089892194709e-07,7.553436225922135e-07,0.0379236067221075,0.00075385497645184,0.11273455917745674,0.006216057792291258,0.9999989973222806,1.677364912281102e-08,9.863648040500266,0.5586008676614899,8.618575020903775,0.8553337321327785,0.07970439230698394,0.006733452150074637,689.155,421.790609191338,0.04217817535706662,0.0026689051229389525,139.35332890543614,139.6199604423321,Formula win
0.2,folds_T4_d100,Folding: 4 layers,Tied,100,orthogonal,Orthogonal MLP,1.0,200.0,3.0,100801,101001,0.9980198215859248,1.0,cv,5,1000,1001,2,0.05301328863131927,0.003618343436877778,1.7691930208093532e-12,8.605250011111978e-13,0.03789600637259955,0.0007927278548397103,0.09375394253768793,5.521067779091363e-05,0.9999989825509236,1.939360227407547e-08,42.69422118750117,0.5694107597507229,8.618575020903775,0.8553337321327785,0.07970439230698394,0.006733452150074637,689.155,421.790609191338,0.04217817535706662,0.0026689051229389525,125.3432275196379,125.583052844627,Formula win
0.2,folds_T4_d100,Folding: 4 layers,Tied,100,constant,Training-mean constant,,,,1,101001,9.900892070375541e-06,1.0,cv,5,1000,0,2,0.04221372823043887,0.0026504010004197967,0.07975272846227938,0.006995487587704824,0.040734158469383164,0.0032275066427742494,0.0,0.0,0.0,0.0,0.0,0.0,8.618575020903775,0.8553337321327785,0.07970439230698394,0.006733452150074637,689.155,421.790609191338,0.04217817535706662,0.0026689051229389525,99.80903050247885,100.0,Reference
0.8,voronoi_K64_d100,64 signed Voronoi tents,Hard,100,formula,Formula,1.0,,,101001,101001,1.0,1.0,cv,5,1000,0,2,0.04950512061703042,5.0090848784603186e-05,0.6498425165728721,0.01146321845379267,0.05178459203107235,0.002713919820740608,0.02044177298961204,0.02260399674390991,1.0,0.0,0.3734195835004357,0.005311700581030434,8.31616887981943,0.8553337321327785,0.6553111023532281,0.017677188701176048,564.9,539.1915480717405,0.04841201802770938,5.0418213557676525e-05,99.99999999999999,100.85263863125755,Reference
0.8,voronoi_K64_d100,64 signed Voronoi tents,Hard,100,unconstrained,ReLU MLP,1.0,200.0,3.0,100801,101001,0.9980198215859248,1.0,cv,5,1000,1001,2,0.2750860882818445,0.00029785901185955927,6.696460030772731e-15,1.5877014690868548e-16,0.6063394224053484,0.012683502264705424,0.38398106202088267,0.03773812020898691,11.632775299235092,0.6257095696631156,7.641956831001153,0.12526235408501746,8.31616887981943,0.8553337321327785,0.6553111023532281,0.017677188701176048,564.9,539.1915480717405,0.04841201802770938,5.0418213557676525e-05,555.6719887825326,560.4098628219697,Formula win
0.8,voronoi_K64_d100,64 signed Voronoi tents,Hard,100,spectral,Spectral MLP,1.0,200.0,3.0,100801,101001,0.9980198215859248,1.0,cv,5,1000,1001,2,0.11342394862096823,0.002139633040078461,0.1268995151776334,0.005626288835123318,0.22341171159746187,0.0028738108396487985,0.21780833077601147,0.01531812570312656,0.9999989891620802,4.2515113304555196e-08,9.04366362700057,0.683264701818596,8.31616887981943,0.8553337321327785,0.6553111023532281,0.017677188701176048,564.9,539.1915480717405,0.04841201802770938,5.0418213557676525e-05,229.11558886687953,231.06911688779178,Formula win
0.8,voronoi_K64_d100,64 signed Voronoi tents,Hard,100,orthogonal,Orthogonal MLP,1.0,200.0,3.0,100801,101001,0.9980198215859248,1.0,cv,5,1000,1001,2,0.11185436042626254,0.003716778855470323,0.005936543403550433,0.0012825959856108719,0.5056282235169665,0.0016694074207243724,0.22242288682169836,0.028839482868403356,0.9999990091779292,8.071174586594939e-09,42.2939864154996,0.32935077373734395,8.31616887981943,0.8553337321327785,0.6553111023532281,0.017677188701176048,564.9,539.1915480717405,0.04841201802770938,5.0418213557676525e-05,225.94503160907996,227.8715262339861,Formula win
0.8,voronoi_K64_d100,64 signed Voronoi tents,Hard,100,constant,Training-mean constant,,,,1,101001,9.900892070375541e-06,1.0,cv,5,1000,0,2,0.04908658939309809,0.0006636887906452619,0.6544925353171489,0.018743021701489886,0.05115925705872558,0.0017890710591758016,0.0,0.0,0.0,0.0,0.0,0.0,8.31616887981943,0.8553337321327785,0.6553111023532281,0.017677188701176048,564.9,539.1915480717405,0.04841201802770938,5.0418213557676525e-05,99.15456983294703,100.0,Reference
