case,experiment,group,target_family,target_level,run,sigma,d,N_train,N_test,formula_scalars,metric,formula_L,beta_mode,noisy_L_D,cv_folds,cv_validation_mse,final_refit_n,final_average_count_min,final_average_count_mean,final_average_count_max,beta_selected,final_L,clean_test_variance,train_mean_baseline_mse,family,method,target_scalar_ratio,width,stored_scalars,scalar_ratio_to_formula,mlp_depth,test_mse,train_noisy_mse,train_clean_mse,mse_over_constant,lipschitz_bound,empirical_lipschitz,optimizer_updates,training_seconds
folds_T4_d100,Folding: 4 layers,Tied,folds,4,13345,0.1,100,1000,2000,101001,l2,1.0,cv,0.18960296343280972,5,0.047316057691090554,1000,843,987.406,1000,9.22338730307246,1.0,0.04029097444629297,0.040291702648334524,unconstrained,ReLU MLP,1.0,200.0,100801,0.9980198215859248,3.0,0.052513399599549974,1.9003106724084788e-07,0.009345224191193208,1.3033303669960605,3.9328166187258247,0.10183977210396196,1001,8.928938401997584
voronoi_K64_d100,64 signed Voronoi tents,Hard,voronoi,64,12345,0.1,100,1000,2000,101001,l2,1.0,cv,0.263837679819371,5,0.061827769034121786,1000,16,183.634,664,7.711356597650745,1.0,0.04844766908841132,0.04849445398040263,constant,Training-mean constant,,,1,9.900892070375541e-06,,0.04849445398040263,0.06200195838952017,0.0523751543152388,1.0,0.0,0.0,0,0.0
voronoi_K64_d100,64 signed Voronoi tents,Hard,voronoi,64,12345,0.1,100,1000,2000,101001,l2,1.0,cv,0.263837679819371,5,0.061827769034121786,1000,16,183.634,664,7.711356597650745,1.0,0.04844766908841132,0.04849445398040263,formula,Formula,1.0,,101001,1.0,,0.04847194948510656,0.05941594756999075,0.04997757545685325,0.9995359367216473,1.0,0.016709854643378486,0,0.4005032659988501
voronoi_K64_d100,64 signed Voronoi tents,Hard,voronoi,64,12345,0.1,100,1000,2000,101001,l2,1.0,cv,0.263837679819371,5,0.061827769034121786,1000,16,183.634,664,7.711356597650745,1.0,0.04844766908841132,0.04849445398040263,orthogonal,Orthogonal MLP,1.0,200.0,100801,0.9980198215859248,3.0,0.05233538439755074,3.999349364821849e-13,0.009614139587381712,1.0792034985835761,0.9999990038482448,0.09056039790823259,1001,43.640994350000256
voronoi_K64_d100,64 signed Voronoi tents,Hard,voronoi,64,12345,0.1,100,1000,2000,101001,l2,1.0,cv,0.263837679819371,5,0.061827769034121786,1000,16,183.634,664,7.711356597650745,1.0,0.04844766908841132,0.04849445398040263,spectral,Spectral MLP,1.0,200.0,100801,0.9980198215859248,3.0,0.05667390268315526,1.2282231013244138e-06,0.009611449860429224,1.1686677141690898,0.9999989688176164,0.11201661300179522,1001,9.292228295998939
voronoi_K64_d100,64 signed Voronoi tents,Hard,voronoi,64,12345,0.1,100,1000,2000,101001,l2,1.0,cv,0.263837679819371,5,0.061827769034121786,1000,16,183.634,664,7.711356597650745,1.0,0.04844766908841132,0.04849445398040263,unconstrained,ReLU MLP,1.0,200.0,100801,0.9980198215859248,3.0,0.05927806964787663,8.673746311614957e-16,0.009614187739795565,1.2223680190693935,4.741324367083881,0.09952238029734735,1001,8.918673257998307
voronoi_K64_d100,64 signed Voronoi tents,Hard,voronoi,64,13345,0.1,100,1000,2000,101001,l2,1.0,cv,0.26318806762665276,5,0.056706923245822806,1000,382,836.462,999,8.618575020903775,1.0,0.04837636696700743,0.048448628918409155,constant,Training-mean constant,,,1,9.900892070375541e-06,,0.048448628918409155,0.056639203756738005,0.04753402993197429,1.0,0.0,0.0,0,0.0
voronoi_K64_d100,64 signed Voronoi tents,Hard,voronoi,64,13345,0.1,100,1000,2000,101001,l2,1.0,cv,0.26318806762665276,5,0.056706923245822806,1000,382,836.462,999,8.618575020903775,1.0,0.04837636696700743,0.048448628918409155,formula,Formula,1.0,,101001,1.0,,0.048440891134211524,0.056520381434918866,0.047362232925215866,0.9998402888921653,1.0,0.002786350126130587,0,0.4174337430013111
voronoi_K64_d100,64 signed Voronoi tents,Hard,voronoi,64,13345,0.1,100,1000,2000,101001,l2,1.0,cv,0.26318806762665276,5,0.056706923245822806,1000,382,836.462,999,8.618575020903775,1.0,0.04837636696700743,0.048448628918409155,orthogonal,Orthogonal MLP,1.0,200.0,100801,0.9980198215859248,3.0,0.0529305356317661,3.752387061416006e-13,0.009333873774325726,1.092508432403831,0.9999990213799524,0.08657807676249742,1001,42.929393638001784
voronoi_K64_d100,64 signed Voronoi tents,Hard,voronoi,64,13345,0.1,100,1000,2000,101001,l2,1.0,cv,0.26318806762665276,5,0.056706923245822806,1000,382,836.462,999,8.618575020903775,1.0,0.04837636696700743,0.048448628918409155,spectral,Spectral MLP,1.0,200.0,100801,0.9980198215859248,3.0,0.05614875185530115,4.4153951446574184e-13,0.00933391618913447,1.158933763633632,0.9999990005315809,0.09792982074723887,1001,9.522235240001464
voronoi_K64_d100,64 signed Voronoi tents,Hard,voronoi,64,13345,0.1,100,1000,2000,101001,l2,1.0,cv,0.26318806762665276,5,0.056706923245822806,1000,382,836.462,999,8.618575020903775,1.0,0.04837636696700743,0.048448628918409155,unconstrained,ReLU MLP,1.0,200.0,100801,0.9980198215859248,3.0,0.05867705619213041,8.310836528296568e-16,0.009333919276022616,1.2111190244608703,4.154543050573697,0.10864823172937031,1001,8.951704870996764
folds_T1_d100,Folding: 1 layer,Tied,folds,1,12345,0.2,100,1000,2000,101001,l2,1.0,cv,0.33142105406650874,5,0.1483730561368698,1000,874,988.032,1000,9.22338730307246,1.0,0.11742387296509704,0.11742938191892525,constant,Training-mean constant,,,1,9.900892070375541e-06,,0.11742938191892525,0.1481251668997841,0.11779331884805012,1.0,0.0,0.0,0,0.0
