case,experiment,group,d,family,method,width,mlp_depth,target_scalar_ratio,stored_scalars,formula_scalars,scalar_ratio_to_formula,formula_L_mode,optimizer_updates,completed_runs,test_mse_mean,test_mse_std,train_mse_mean,train_mse_std,empirical_lipschitz_mean,empirical_lipschitz_std,L_used_cf_mean,L_used_cf_std,L_hat_train_mean,L_hat_train_std,target_euclidean_L_mean,target_euclidean_L_std,lipschitz_bound_mean,lipschitz_bound_std,normalized_mse_mean,normalized_mse_std,training_seconds_mean,training_seconds_std,mse_percent_of_formula,mse_percent_of_constant,observed_comparison
affine_l1_d100,"Affine, ||w||_1=1",(Expected) Clear losses,100,formula,Formula,,,1.0,101001,101001,1.0,fixed,0,2,0.00567176964637457,0.00013715830140855837,0.0,0.0,0.04557981271647941,0.00030844035545448203,1.0,0.0,0.05639234138619912,0.004258042281296992,0.12342304167521682,0.0007770255394907025,1.0,0.0,1.07828986800161,0.029707024758662826,0.1713734815002681,0.004825662249373378,100.0,107.82398321343982,Reference
affine_l1_d100,"Affine, ||w||_1=1",(Expected) Clear losses,100,unconstrained,ReLU MLP,200.0,3.0,1.0,100801,101001,0.9980198215859248,fixed,1001,2,0.00028630754560367153,1.5482380129657073e-05,1.872647419411707e-16,3.923280811254189e-17,0.05088100814450464,3.060176009586674e-05,1.0,0.0,0.05639234138619912,0.004258042281296992,0.12342304167521682,0.0007770255394907025,2.1250106810067577,0.030982485213360073,0.05442425435863986,0.002759965150168402,9.03795132599953,0.5249729148068171,5.047940298257371,5.442890299817492,Formula loss
affine_l1_d100,"Affine, ||w||_1=1",(Expected) Clear losses,100,spectral,Spectral MLP,200.0,3.0,1.0,100801,101001,0.9980198215859248,fixed,1001,2,0.00016507350778552964,2.1533340113826573e-05,1.9540352735185242e-14,6.755495159263202e-16,0.048105554642515716,0.0003017549548044202,1.0,0.0,0.05639234138619912,0.004258042281296992,0.12342304167521682,0.0007770255394907025,0.9999989823778941,1.0234224002480213e-08,0.03137481695641576,0.0039879363403611005,9.992824709501292,0.33118369916668006,2.9104409748207183,3.1381533881277655,Formula loss
affine_l1_d100,"Affine, ||w||_1=1",(Expected) Clear losses,100,orthogonal,Orthogonal MLP,200.0,3.0,1.0,100801,101001,0.9980198215859248,fixed,1001,2,0.002816938190367776,7.34226071471036e-05,1.648157797545421e-13,6.661426630937049e-14,0.04709774245113124,0.008117884557426487,1.0,0.0,0.05639234138619912,0.004258042281296992,0.12342304167521682,0.0007770255394907025,0.9999990203899232,5.505468051273392e-09,0.5355445878713618,0.015762156347450526,44.04295178599932,0.37295193033889273,49.665948478150554,53.55180394987672,Formula loss
affine_l1_d100,"Affine, ||w||_1=1",(Expected) Clear losses,100,constant,Training-mean constant,,,,1,101001,9.900892070375541e-06,fixed,0,2,0.005260211575700356,1.7719663954543097e-05,0.005097472852141819,0.0002099932621653325,0.0,0.0,1.0,0.0,0.05639234138619912,0.004258042281296992,0.12342304167521682,0.0007770255394907025,0.0,0.0,1.0,0.0,0.0,0.0,92.74374496260997,100.0,Reference
tanh_ridge_d100,Tanh ridge,(Expected) Clear losses,100,formula,Formula,,,1.0,101001,101001,1.0,fixed,0,2,0.1474943824590491,0.0227840820871032,0.0,0.0,0.14080665163132317,0.012610447008652742,1.0,0.0,0.24981568998315629,0.007713728881962423,1.0,0.0,1.0,0.0,0.864668032891835,0.0790611127898176,0.16169515150068037,0.04309528958221925,100.0,85.50152649275404,Reference
tanh_ridge_d100,Tanh ridge,(Expected) Clear losses,100,unconstrained,ReLU MLP,200.0,3.0,1.0,100801,101001,0.9980198215859248,fixed,1001,2,0.011476527178672303,0.0024236869842577877,1.076895109753693e-15,3.264394613045129e-16,0.25402559957696136,0.024898440792945488,1.0,0.0,0.24981568998315629,0.007713728881962423,1.0,0.0,4.67147169441474,0.999679793333037,0.07034116120267411,0.03122620930295274,8.931338819998928,0.6699979389307548,7.780992731610431,6.652867561817159,Formula loss
tanh_ridge_d100,Tanh ridge,(Expected) Clear losses,100,spectral,Spectral MLP,200.0,3.0,1.0,100801,101001,0.9980198215859248,fixed,1001,2,0.011901086196669984,0.0006147180234315001,5.781739082200452e-08,8.147620581272276e-08,0.23134817971494478,0.026105466159813167,1.0,0.0,0.24981568998315629,0.007713728881962423,1.0,0.0,0.9999990072327012,7.890391393240286e-09,0.0715582680267785,0.021036934039264,8.864138393000758,0.22568218159633335,8.068840316663751,6.898981641010276,Formula loss
tanh_ridge_d100,Tanh ridge,(Expected) Clear losses,100,orthogonal,Orthogonal MLP,200.0,3.0,1.0,100801,101001,0.9980198215859248,fixed,1001,2,0.06165495839957999,0.01604674013112153,0.002512270882429117,0.003552833242566332,0.18065442846119242,0.018267930120782386,1.0,0.0,0.24981568998315629,0.007713728881962423,1.0,0.0,0.9999990085398394,8.280729096217987e-09,0.35668642255113137,0.005924434938429456,42.14049146150137,0.3256054766068686,41.8015638098611,35.74097515527387,Formula loss
tanh_ridge_d100,Tanh ridge,(Expected) Clear losses,100,constant,Training-mean constant,,,,1,101001,9.900892070375541e-06,fixed,0,2,0.17250496980489438,0.042123121910542835,0.16483866819096293,0.042931181082017794,0.0,0.0,1.0,0.0,0.24981568998315629,0.007713728881962423,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,116.9569762107986,100.0,Reference
