case,experiment,group,target_family,target_level,run,sigma,d,N_train,N_test,formula_scalars,metric,formula_L,beta_mode,noisy_L_D,cv_folds,cv_validation_mse,final_refit_n,final_average_count_min,final_average_count_mean,final_average_count_max,beta_selected,final_L,clean_test_variance,train_mean_baseline_mse,family,method,target_scalar_ratio,width,stored_scalars,scalar_ratio_to_formula,mlp_depth,test_mse,train_noisy_mse,train_clean_mse,mse_over_constant,lipschitz_bound,empirical_lipschitz,optimizer_updates,training_seconds
folds_T1_d100,Folding: 1 layer,Tied,folds,1,16345,0.2,100,1000,2000,101001,l2,1.0,cv,0.39285327123730696,5,0.16771484031706357,1000,231,645.158,973,8.316168879819433,1.0,0.11958974498515793,0.11985093447890381,constant,Training-mean constant,,,1,9.900892070375541e-06,,0.11985093447890381,0.16751727389900123,0.12654846376052878,1.0,0.0,0.0,0,0.0
folds_T1_d100,Folding: 1 layer,Tied,folds,1,16345,0.2,100,1000,2000,101001,l2,1.0,cv,0.39285327123730696,5,0.16771484031706357,1000,231,645.158,973,8.316168879819433,1.0,0.11958974498515793,0.11985093447890381,formula,Formula,1.0,,101001,1.0,,0.11988722545075658,0.16781318656806377,0.126880111462519,1.0003028009085666,1.0,0.006622497481780252,0,0.840989677933976
folds_T1_d100,Folding: 1 layer,Tied,folds,1,16345,0.2,100,1000,2000,101001,l2,1.0,cv,0.39285327123730696,5,0.16771484031706357,1000,231,645.158,973,8.316168879819433,1.0,0.11958974498515793,0.11985093447890381,orthogonal,Orthogonal MLP,1.0,200.0,100801,0.9980198215859248,3.0,0.12955409672771145,2.087315062298294e-12,0.03825534687971034,1.080960255262053,0.9999989766505011,0.11592161866233298,1001,91.79322328604758
folds_T1_d100,Folding: 1 layer,Tied,folds,1,16345,0.2,100,1000,2000,101001,l2,1.0,cv,0.39285327123730696,5,0.16771484031706357,1000,231,645.158,973,8.316168879819433,1.0,0.11958974498515793,0.11985093447890381,spectral,Spectral MLP,1.0,200.0,100801,0.9980198215859248,3.0,0.12926539777169033,8.749983998666805e-06,0.03782120634078224,1.0785514383656611,0.9999990257842942,0.1595358620813289,1001,13.402890200959519
folds_T1_d100,Folding: 1 layer,Tied,folds,1,16345,0.2,100,1000,2000,101001,l2,1.0,cv,0.39285327123730696,5,0.16771484031706357,1000,231,645.158,973,8.316168879819433,1.0,0.11958974498515793,0.11985093447890381,unconstrained,ReLU MLP,1.0,200.0,100801,0.9980198215859248,3.0,0.14673537532564893,1.0603552071932724e-09,0.0382561222647161,1.22431565480599,6.264309032073331,0.1786285582644596,1001,10.974083913024515
folds_T1_d100,Folding: 1 layer,Tied,folds,1,17345,0.2,100,1000,2000,101001,l2,1.0,cv,0.31499265767306284,5,0.14850919400700902,1000,416,831.97,994,8.618575020903775,1.0,0.12170894472556362,0.1217982534998541,constant,Training-mean constant,,,1,9.900892070375541e-06,,0.1217982534998541,0.14816041740595295,0.11537697969792486,1.0,0.0,0.0,0,0.0
folds_T1_d100,Folding: 1 layer,Tied,folds,1,17345,0.2,100,1000,2000,101001,l2,1.0,cv,0.31499265767306284,5,0.14850919400700902,1000,416,831.97,994,8.618575020903775,1.0,0.12170894472556362,0.1217982534998541,formula,Formula,1.0,,101001,1.0,,0.12182749441977349,0.14856084326350089,0.1157882702280391,1.0002400766766284,1.0,0.004261958201224328,0,0.9058450220618397
folds_T1_d100,Folding: 1 layer,Tied,folds,1,17345,0.2,100,1000,2000,101001,l2,1.0,cv,0.31499265767306284,5,0.14850919400700902,1000,416,831.97,994,8.618575020903775,1.0,0.12170894472556362,0.1217982534998541,orthogonal,Orthogonal MLP,1.0,200.0,100801,0.9980198215859248,3.0,0.1351942928034017,3.9421861436408915e-12,0.038285235818545295,1.1099854794187476,0.9999989896848235,0.10695031817350499,1001,92.08169813407585
folds_T1_d100,Folding: 1 layer,Tied,folds,1,17345,0.2,100,1000,2000,101001,l2,1.0,cv,0.31499265767306284,5,0.14850919400700902,1000,416,831.97,994,8.618575020903775,1.0,0.12170894472556362,0.1217982534998541,spectral,Spectral MLP,1.0,200.0,100801,0.9980198215859248,3.0,0.13469717831485312,7.22174585102536e-13,0.038285363066117836,1.105904021152606,0.9999990192890991,0.14433893690727975,1001,13.42887094290927
folds_T1_d100,Folding: 1 layer,Tied,folds,1,17345,0.2,100,1000,2000,101001,l2,1.0,cv,0.31499265767306284,5,0.14850919400700902,1000,416,831.97,994,8.618575020903775,1.0,0.12170894472556362,0.1217982534998541,unconstrained,ReLU MLP,1.0,200.0,100801,0.9980198215859248,3.0,0.15305353156378437,3.0465807039007915e-15,0.03828542117491532,1.2566151579830964,6.448892524771651,0.19906869428819837,1001,10.685634037014097
folds_T1_d100,Folding: 1 layer,Tied,folds,1,18345,0.2,100,1000,2000,101001,l2,1.0,cv,0.32020696914062335,5,0.15881605147827796,1000,186,640.578,974,8.316168879819433,1.0,0.11037000551239996,0.11099797747076448,constant,Training-mean constant,,,1,9.900892070375541e-06,,0.11099797747076448,0.1587459198350596,0.10765865067650503,1.0,0.0,0.0,0,0.0
folds_T1_d100,Folding: 1 layer,Tied,folds,1,18345,0.2,100,1000,2000,101001,l2,1.0,cv,0.32020696914062335,5,0.15881605147827796,1000,186,640.578,974,8.316168879819433,1.0,0.11037000551239996,0.11099797747076448,formula,Formula,1.0,,101001,1.0,,0.11074481996176345,0.15879786528228312,0.10763832033915302,0.9977192601633872,1.0,0.007295030003247979,0,0.9073240919969976
folds_T1_d100,Folding: 1 layer,Tied,folds,1,18345,0.2,100,1000,2000,101001,l2,1.0,cv,0.32020696914062335,5,0.15881605147827796,1000,186,640.578,974,8.316168879819433,1.0,0.11037000551239996,0.11099797747076448,orthogonal,Orthogonal MLP,1.0,200.0,100801,0.9980198215859248,3.0,0.12176156666816007,1.7683900597784295e-12,0.041981746792620935,1.0969710389563683,0.999998975806723,0.11360432821559864,1001,91.71660721092485
folds_T1_d100,Folding: 1 layer,Tied,folds,1,18345,0.2,100,1000,2000,101001,l2,1.0,cv,0.32020696914062335,5,0.15881605147827796,1000,186,640.578,974,8.316168879819433,1.0,0.11037000551239996,0.11099797747076448,spectral,Spectral MLP,1.0,200.0,100801,0.9980198215859248,3.0,0.12452278022053502,1.4490842221541844e-12,0.0419819727449473,1.1218472899952867,0.9999989796917147,0.15255482574808063,1001,13.28681191499345
folds_T1_d100,Folding: 1 layer,Tied,folds,1,18345,0.2,100,1000,2000,101001,l2,1.0,cv,0.32020696914062335,5,0.15881605147827796,1000,186,640.578,974,8.316168879819433,1.0,0.11037000551239996,0.11099797747076448,unconstrained,ReLU MLP,1.0,200.0,100801,0.9980198215859248,3.0,0.14441005488904388,1.5521939490315494e-10,0.04198095010162993,1.3010151912640007,7.967273004993959,0.19163302898034548,1001,11.386506485985592
