sigma,case,experiment,group,d,family,method,target_scalar_ratio,width,mlp_depth,stored_scalars,formula_scalars,scalar_ratio_to_formula,formula_L,beta_mode,cv_folds,final_refit_n,optimizer_updates,completed_runs,test_mse_mean,test_mse_std,train_noisy_mse_mean,train_noisy_mse_std,train_clean_mse_mean,train_clean_mse_std,empirical_lipschitz_mean,empirical_lipschitz_std,lipschitz_bound_mean,lipschitz_bound_std,training_seconds_mean,training_seconds_std,beta_selected_mean,beta_selected_std,cv_validation_mse_mean,cv_validation_mse_std,final_average_count_mean_mean,final_average_count_mean_std,clean_test_variance_mean,clean_test_variance_std,mse_percent_of_formula,mse_percent_of_constant,observed_comparison
0.8,voronoi_K64_d100,64 signed Voronoi tents,Hard,100,spectral,Spectral MLP,1.0,200.0,3.0,100801,101001,0.9980198215859248,1.0,cv,5,1000,1001,30,0.10834465703022061,0.006660918567031514,0.14380934083971608,0.018422381400636845,0.22344062688658137,0.014136430610772511,0.20368189024170888,0.014066338928958087,0.9999989614985952,4.679297025067673e-08,13.215086518228054,0.2573848344050579,8.769778091445946,0.8205225991201408,0.6846827944644074,0.030495992045245786,703.9724666666665,308.0107015716682,0.04920060754035416,0.00272722507639414,216.67195860439472,217.9262403680799,Formula win
0.8,voronoi_K64_d100,64 signed Voronoi tents,Hard,100,orthogonal,Orthogonal MLP,1.0,200.0,3.0,100801,101001,0.9980198215859248,1.0,cv,5,1000,1001,30,0.10873847095738112,0.005366267995735194,0.00883026400573879,0.0031072151274434577,0.5160730158216371,0.01217648514557434,0.2075442661965653,0.015207152996548874,0.9999990033102539,1.767154391269706e-08,91.40698128978256,0.6824126034963762,8.769778091445946,0.8205225991201408,0.6846827944644074,0.030495992045245786,703.9724666666665,308.0107015716682,0.04920060754035416,0.00272722507639414,217.45952337466073,218.71836423374262,Formula win
0.8,voronoi_K64_d100,64 signed Voronoi tents,Hard,100,constant,Training-mean constant,,,,1,101001,9.900892070375541e-06,1.0,cv,5,1000,0,30,0.04971620528451519,0.0027726530692959526,0.6836916019044992,0.030360834994769974,0.049706593097498246,0.0032657257971484117,0.0,0.0,0.0,0.0,0.0,0.0,8.769778091445946,0.8205225991201408,0.6846827944644074,0.030495992045245786,703.9724666666665,308.0107015716682,0.04920060754035416,0.00272722507639414,99.42444665609489,100.0,Reference
0.8,folds_T1_d100,Folding: 1 layer,Tied,100,formula,Formula,1.0,,,101001,101001,1.0,1.0,cv,5,1000,0,30,0.12114874996620512,0.004947302939882042,0.7594471376980468,0.03237057122577691,0.1206644330342913,0.00578326748696749,0.010937474014297843,0.013392048011505241,1.0,0.0,0.9129044689005241,0.021236619201444415,8.900820752582495,0.7318897916121665,0.7617879924079248,0.03257408365176654,790.5726666666666,259.4940531027217,0.1202310916745823,0.004639918106370127,100.0,100.16145016523194,Reference
0.8,folds_T1_d100,Folding: 1 layer,Tied,100,unconstrained,ReLU MLP,1.0,200.0,3.0,100801,101001,0.9980198215859248,1.0,cv,5,1000,1001,30,0.3715470279710671,0.02819590196099668,0.0002944826684154951,0.0016127820788575842,0.6397113203303387,0.03146070595497297,0.4279584096738968,0.04877479225582581,13.02819990133023,1.921077755926397,10.701153761474416,0.23126062292238309,8.900820752582495,0.7318897916121665,0.7617879924079248,0.03257408365176654,790.5726666666666,259.4940531027217,0.1202310916745823,0.004639918106370127,306.6866377694458,307.1817838528689,Formula win
0.8,folds_T1_d100,Folding: 1 layer,Tied,100,spectral,Spectral MLP,1.0,200.0,3.0,100801,101001,0.9980198215859248,1.0,cv,5,1000,1001,30,0.18004477422099188,0.0074184722683118326,0.1854614641577205,0.025293550832570524,0.2168319464776866,0.0115439622590878,0.20872396423410883,0.015337556042658046,0.999998973196048,3.948878137853172e-08,13.351370989748586,0.2988850325129273,8.900820752582495,0.7318897916121665,0.7617879924079248,0.03257408365176654,790.5726666666666,259.4940531027217,0.1202310916745823,0.004639918106370127,148.61463636332692,148.85457493929437,Formula win
0.8,folds_T1_d100,Folding: 1 layer,Tied,100,orthogonal,Orthogonal MLP,1.0,200.0,3.0,100801,101001,0.9980198215859248,1.0,cv,5,1000,1001,30,0.1776743317463862,0.006982498522525393,0.016187900370707713,0.004498737382333374,0.4796676834946271,0.010418343450666265,0.21160347911681363,0.01405145878160527,0.9999989985915604,1.7600675954807572e-08,91.37778220040103,1.0241069109765268,8.900820752582495,0.7318897916121665,0.7617879924079248,0.03257408365176654,790.5726666666666,259.4940531027217,0.1202310916745823,0.004639918106370127,146.65799836642896,146.8947779471174,Formula win
0.8,folds_T1_d100,Folding: 1 layer,Tied,100,constant,Training-mean constant,,,,1,101001,9.900892070375541e-06,1.0,cv,5,1000,0,30,0.12095347038840926,0.004894890734080342,0.760675872728176,0.03233349746102066,0.12041746410476796,0.005756727222053768,0.0,0.0,0.0,0.0,0.0,0.0,8.900820752582495,0.7318897916121665,0.7617879924079248,0.03257408365176654,790.5726666666666,259.4940531027217,0.1202310916745823,0.004639918106370127,99.83881007616642,100.0,Reference
0.8,folds_T4_d100,Folding: 4 layers,Tied,100,formula,Formula,1.0,,,101001,101001,1.0,1.0,cv,5,1000,0,30,0.0422198692056687,0.0031545565707960846,0.679594742348221,0.031458681500119795,0.042572584881546964,0.00533235439477219,0.014656511287324472,0.022400662673214715,1.0,0.0,0.9131031360089158,0.025699182346579467,8.870580138474061,0.8294415850461392,0.6831000378818352,0.029716268812127803,753.2057999999998,310.8424832489478,0.04098156887944403,0.0022138059691327685,100.00000000000001,101.54951417928167,Reference
0.8,folds_T4_d100,Folding: 4 layers,Tied,100,unconstrained,ReLU MLP,1.0,200.0,3.0,100801,101001,0.9980198215859248,1.0,cv,5,1000,1001,30,0.29353653914845523,0.025117643534628538,9.248804178151462e-05,0.00037804013773645983,0.638473368607299,0.02808558180207864,0.41396042966295954,0.04002855159364965,13.345126826896543,2.0150772371413104,10.811070233769716,0.34464348160706576,8.870580138474061,0.8294415850461392,0.6831000378818352,0.029716268812127803,753.2057999999998,310.8424832489478,0.04098156887944403,0.0022138059691327685,695.2568652416461,706.0299689509947,Formula win
