sigma,case,run,beta_selected,cv_validation_mse,final_refit_n,final_average_count_min,final_average_count_mean,final_average_count_max
0.2,voronoi_K64_d100,39345,8.013762738735089,0.08415808742143843,1000,64,373.226,832
0.2,voronoi_K64_d100,40345,8.618575020903775,0.08961222641356795,1000,441,834.486,997
0.2,voronoi_K64_d100,41345,7.711356597650745,0.08789049733130364,1000,25,185.162,689
0.8,folds_T1_d100,12345,8.618575020903775,0.7010371887702764,1000,413,838.212,993
0.8,folds_T1_d100,13345,10.130605726325488,0.7266446451662141,1000,997,999.988,1000
0.8,folds_T1_d100,14345,9.828199585241146,0.788000391315637,1000,991,999.824,1000
0.8,folds_T1_d100,15345,9.22338730307246,0.7960882729928974,1000,814,986.826,1000
0.8,folds_T1_d100,16345,9.828199585241146,0.7497866040908748,1000,992,999.834,1000
0.8,folds_T1_d100,17345,9.22338730307246,0.7077417967943856,1000,881,987.2,1000
0.8,folds_T1_d100,18345,8.316168879819433,0.8141501092282193,1000,186,640.578,974
0.8,folds_T1_d100,19345,8.316168879819433,0.7332605169446351,1000,145,640.582,943
0.8,folds_T1_d100,20345,8.920981161988117,0.7327234913301763,1000,667,944.5,1000
0.8,folds_T1_d100,21345,8.316168879819433,0.7919229220744756,1000,229,653.542,946
0.8,folds_T1_d100,22345,9.525793444156804,0.790033800367565,1000,960,998.234,1000
0.8,folds_T1_d100,23345,10.130605726325488,0.7230947501956833,1000,998,999.986,1000
0.8,folds_T1_d100,24345,8.013762738735089,0.7485295583700075,1000,57,386.458,860
0.8,folds_T1_d100,25345,8.618575020903775,0.7960732556356036,1000,444,843.212,995
0.8,folds_T1_d100,26345,8.618575020903775,0.7425186851292502,1000,441,828.444,996
0.8,folds_T1_d100,27345,8.013762738735089,0.7275782955834744,1000,79,384.368,850
0.8,folds_T1_d100,28345,9.525793444156804,0.8066322424000036,1000,951,997.848,1000
0.8,folds_T1_d100,29345,7.711356597650745,0.7962184244631599,1000,14,179.532,636
0.8,folds_T1_d100,30345,8.316168879819433,0.8065895639238159,1000,196,630.8,942
0.8,folds_T1_d100,31345,9.525793444156804,0.7376602101568313,1000,947,997.51,1000
0.8,folds_T1_d100,32345,9.22338730307246,0.7586710340774785,1000,874,987.946,1000
0.8,folds_T1_d100,33345,8.316168879819433,0.760811284799434,1000,129,624.296,972
0.8,folds_T1_d100,34345,10.130605726325488,0.771522615818625,1000,999,999.996,1000
0.8,folds_T1_d100,35345,9.22338730307246,0.749213878825578,1000,875,987.122,1000
0.8,folds_T1_d100,36345,8.920981161988117,0.7931521191617757,1000,597,940.21,1000
0.8,folds_T1_d100,37345,9.525793444156804,0.7958577119865824,1000,961,998.282,1000
0.8,folds_T1_d100,38345,7.711356597650745,0.7602831181822001,1000,20,193.1,562
0.8,folds_T1_d100,39345,8.013762738735089,0.7557352460899517,1000,64,373.226,832
0.8,folds_T1_d100,40345,8.618575020903775,0.7751450839008677,1000,441,834.486,997
0.8,folds_T1_d100,41345,8.618575020903775,0.7169629544620703,1000,499,841.038,998
0.8,folds_T4_d100,12345,8.013762738735089,0.6713142363005511,1000,65,390.904,866
0.8,folds_T4_d100,13345,10.130605726325488,0.6320443511639994,1000,997,999.988,1000
0.8,folds_T4_d100,14345,10.130605726325488,0.6884570792675322,1000,998,999.982,1000
0.8,folds_T4_d100,15345,8.013762738735089,0.7153292648124793,1000,45,388.02,790
0.8,folds_T4_d100,16345,9.525793444156804,0.6571667507191707,1000,969,998.274,1000
0.8,folds_T4_d100,17345,8.920981161988117,0.677535011979527,1000,687,944.57,1000
0.8,folds_T4_d100,18345,8.316168879819433,0.727436860645485,1000,186,640.578,974
0.8,folds_T4_d100,19345,8.316168879819433,0.6611816712404021,1000,145,640.582,943
0.8,folds_T4_d100,20345,8.920981161988117,0.6422174027471212,1000,667,944.5,1000
0.8,folds_T4_d100,21345,9.525793444156804,0.7187393089445183,1000,975,998.366,1000
0.8,folds_T4_d100,22345,9.525793444156804,0.6876757357517255,1000,960,998.234,1000
