case,experiment,group,target_family,target_level,run,d,N_train,N_test,N_lip,formula_scalars,metric,formula_L_mode,L_used_cf,L_hat_train,cv_folds,cv_offset,cv_mse,cv_offsets,cv_scores,cv_fold_L_D,target_euclidean_L,train_mean_baseline_mse,family,method,target_scalar_ratio,width,mlp_depth,stored_scalars,scalar_ratio_to_formula,test_mse,train_mse,normalized_mse,lipschitz_bound,requested_nn_L,empirical_lipschitz,optimizer_updates,training_seconds
folds_T1_d100,Folding: 1 layer,(Expected) Clear near ties [85%-115%],folds,1,12345,100,1000,2000,1000,101001,l2,fixed,1.0,0.2670094838876419,0,,,[],[],[],1.0,0.11742420968801699,unconstrained,ReLU MLP,1.0,200.0,3.0,100801,0.9980198215859248,0.13281078097957344,1.7278353984100648e-12,1.1310340630133842,6.396867324592928,,0.14796880440822166,1001,8.750369839002815
folds_T1_d100,Folding: 1 layer,(Expected) Clear near ties [85%-115%],folds,1,12345,100,1000,2000,1000,101001,l2,fixed,1.0,0.2670094838876419,0,,,[],[],[],1.0,0.11742420968801699,spectral,Spectral MLP,1.0,200.0,3.0,100801,0.9980198215859248,0.11948321681124847,6.17685031201615e-08,1.0175347752282262,0.9999990030673864,1.0,0.12849756859264191,1001,10.45684581399837
folds_T1_d100,Folding: 1 layer,(Expected) Clear near ties [85%-115%],folds,1,12345,100,1000,2000,1000,101001,l2,fixed,1.0,0.2670094838876419,0,,,[],[],[],1.0,0.11742420968801699,orthogonal,Orthogonal MLP,1.0,200.0,3.0,100801,0.9980198215859248,0.12282872405600943,1.0654861442336312e-12,1.0460255545457928,0.9999990121696211,1.0,0.10714779460697473,1001,44.654604569001094
folds_T4_d100,Folding: 4 layers,(Expected) Clear near ties [85%-115%],folds,4,13345,100,1000,2000,1000,101001,l2,fixed,1.0,0.1567593485462163,0,,,[],[],[],1.0,0.04031871939121392,formula,Formula,1.0,,,101001,1.0,0.05104382834462617,0.0,1.2660081747474703,1.0,,0.11624251373190672,0,0.13458591199741932
folds_T4_d100,Folding: 4 layers,(Expected) Clear near ties [85%-115%],folds,4,13345,100,1000,2000,1000,101001,l2,fixed,1.0,0.1567593485462163,0,,,[],[],[],1.0,0.04031871939121392,constant,Training-mean constant,,,,1,9.900892070375541e-06,0.04031871939121392,0.038302115026506295,1.0,0.0,,0.0,0,0.0
folds_T4_d100,Folding: 4 layers,(Expected) Clear near ties [85%-115%],folds,4,13345,100,1000,2000,1000,101001,l2,fixed,1.0,0.1567593485462163,0,,,[],[],[],1.0,0.04031871939121392,unconstrained,ReLU MLP,1.0,200.0,3.0,100801,0.9980198215859248,0.04835675210865243,1.4126614081587652e-15,1.1993623021466828,3.576778205875539,,0.08737004844752512,1001,9.066165430998808
folds_T4_d100,Folding: 4 layers,(Expected) Clear near ties [85%-115%],folds,4,13345,100,1000,2000,1000,101001,l2,fixed,1.0,0.1567593485462163,0,,,[],[],[],1.0,0.04031871939121392,spectral,Spectral MLP,1.0,200.0,3.0,100801,0.9980198215859248,0.04736577394316174,1.914127832157781e-05,1.1747836900167887,0.9999989749873114,1.0,0.09496236479143315,1001,10.196882782998728
folds_T4_d100,Folding: 4 layers,(Expected) Clear near ties [85%-115%],folds,4,13345,100,1000,2000,1000,101001,l2,fixed,1.0,0.1567593485462163,0,,,[],[],[],1.0,0.04031871939121392,orthogonal,Orthogonal MLP,1.0,200.0,3.0,100801,0.9980198215859248,0.04582512948292795,1.9886210382761404e-12,1.1365720482906498,0.9999989664818753,1.0,0.07261563276521012,1001,43.30799330700029
affine_l1_d100,"Affine, ||w||_1=1",(Expected) Clear losses,affine,1,13345,100,1000,2000,1000,101001,l2,fixed,1.0,0.05940323195788326,0,,,[],[],[],0.12287360164708781,0.0052476818811577515,formula,Formula,1.0,,,101001,1.0,0.005768755211396591,0.0,1.0992959066573371,1.0,,0.04579791298341286,0,0.16796122300002025
affine_l1_d100,"Affine, ||w||_1=1",(Expected) Clear losses,affine,1,13345,100,1000,2000,1000,101001,l2,fixed,1.0,0.05940323195788326,0,,,[],[],[],0.12287360164708781,0.0052476818811577515,constant,Training-mean constant,,,,1,9.900892070375541e-06,0.0052476818811577515,0.00524596051182241,1.0,0.0,,0.0,0,0.0
